Spillover,coef,t-value
ARG,-0.7321733971958606,-2.604701812912614
AUS,-0.5362641055008742,-0.37602036389695975
BEL,6.147331590277359,4.169410420029358
BGD,-0.022855103558564904,-0.9882355959379938
BGR,0.2873364943188479,0.8262762071039121
BRA,-2.4599085652535075,-2.908823553352622
CAN,8.641843350968704,3.87664163426943
CHL,-0.706886077366717,-1.1072134502932138
CHN,-17.421819900943543,-5.5107648738576165
COL,-0.5060772392340143,-1.3932187288458748
CRI,-0.1628127435238199,-1.3726450236943575
CUB,-0.04009915170605126,-0.4295164994981235
DEU,23.783665267075968,7.136711286498736
DNK,-0.6646064126381698,-1.3476393146567565
DOM,-0.007135769959528753,-0.08608124331167706
ECU,-0.03854471288979587,-1.4308447715130073
EGY,-0.25174414142796436,-1.3440252965579185
ESP,4.791422669768588,2.0612855160221604
EST,-0.18515394138616065,-1.3753371687606537
FIN,-0.39598027263130997,-0.6253735222931505
FRA,19.43759520161496,6.3723889971880885
GBR,22.087456725423813,6.5355102255208175
GEO,-0.18250974118398283,-2.722657964087993
GRC,0.3979083996399722,0.6367098329577776
GTM,-0.013115951215937406,-0.9857720306435058
HKG,-0.8549737476517087,-1.3967620463812345
HRV,-0.2998243623489066,-2.0635757210931445
IDN,-0.19202266139604657,-1.8397130649031355
IND,-5.215969960358923,-4.537289908671194
IRL,1.7118799481856013,3.0555415142931652
IRN,-0.01611032768193719,-1.2851410799361112
ISL,-0.0006580786046568373,-0.004994491845277659
ISR,-1.1343829554678797,-2.5123453776369518
ITA,-0.5950191725798372,-0.5947406686394732
JPN,19.841886441259433,5.548341782200299
KEN,0.13010133368496182,1.27446993939997
KOR,-3.9422796462187613,-1.082749986412882
LTU,0.05519661737965553,0.27108639896812486
LVA,0.1990649568075835,0.9989559763680933
MAR,-0.24684480221755628,-1.808939571598347
MCO,0.24063841340308778,1.6682764250672015
MEX,-1.7805274442408,-2.478073982217546
MLT,-0.027281735095116753,-0.9882303041764007
MUS,-0.06534169735112952,-0.62408166639426
MYS,-0.8787155874737953,-2.1768042292850525
NCL,-0.02637686434552965,-0.9853445737662163
NIC,-0.012190487023826276,-0.98264335971484
NIU,-0.027281735095116753,-0.9882303041764007
NLD,7.708876343426209,4.69552242223661
NOR,-2.623065013057293,-2.6882539225536957
NZL,-0.6558702717918247,-0.9432775772252983
PAK,-0.056206982658150405,-1.3898449421024075
PAN,-0.0820132722368491,-1.0977971177897299
PER,-0.07225970559020146,-0.6638142974748791
PHL,-0.6041838402434474,-1.8288771547899236
PLW,7.229724933341388e-05,0.03925054142438781
POL,-0.3456916735107842,-0.49079308306032693
PRT,-0.2709970393009424,-0.5904258092964356
REU,-0.01880422712740392,-0.9880563412960978
ROU,0.6564262893746737,0.8172841193220696
RUS,8.554324801518822,3.3723136046442375
SAU,-0.048630850269196724,-0.3086061102703171
SDN,-0.06334622719462614,-0.9882303041764009
SEN,0.41696162117119023,1.280439124940749
SGP,-1.6496818713913883,-2.9302327358488176
SLE,0.012384291134209063,0.9798991977879555
SLV,0.020856236481481567,0.9761834960934909
STP,-0.021653204940314228,-0.9877299967343011
SVN,-0.1255582437099749,-0.46102137556691186
SWE,0.5262217078560203,0.7306596485166093
SYR,-0.02216044667306708,-0.9882146512408098
THA,-0.08867007911266958,-0.7057588857517401
TLS,-0.03141171947888725,-0.9871886795318703
TON,-0.018787767829888103,-0.9880110326622724
TUN,-0.133980815340996,-1.894131514967189
TUR,-0.7613224149469419,-1.0817053480870955
TWN,-6.783905510690172,-5.466662573554554
UKR,-0.7857169100073061,-1.7975502388343947
URY,-0.12001576283656609,-1.4518803650667629
USA,30.08528270091727,6.498209088320376
VEN,0.03185244996268772,0.9848886800791068
VNM,-0.2620750647152664,-1.822866148038522
ZAF,1.479443951379536,1.8949395477263151
