Contribute,coef,t-value
ABW,0.047200887183473476,0.3732330407516444
AGO,0.11096993688145226,1.7514657419773114
AIA,-0.6341455864772761,-1.7945026533766577
ALB,-0.03223410675472516,-0.9380916419302581
ARE,0.9401209538852026,1.2567474496877031
ARG,3.7157333890191264,2.7020788572781096
ATG,-0.6539575349331607,-0.8288158158875292
AUS,8.79279132917536,4.7521796819221835
BEL,6.6772614535215,3.651710430426283
BEN,0.014261809151575721,0.2245784743687235
BGD,-0.08961586859112299,-0.6488194911732359
BGR,1.4749365290155472,2.6858096322600566
BHR,0.35940068850604495,1.4224900019772633
BHS,2.3623251427203615,2.2969944765619434
BIH,-0.2347377300387692,-0.551565482423016
BLZ,0.5513688295790963,1.7051965826506077
BMU,3.1221478267329994,1.6592906379300152
BRA,3.5197148854852602,2.632026618077724
BRB,1.6242411074080332,1.138231042564751
BRN,0.08876112985587917,0.4047434644410197
BVT,0.13282890015459414,2.1162016783453184
CAN,12.11749222300237,5.969130303551664
CHL,0.5303943186521781,0.6475763734221761
CHN,0.21467501535866454,0.13086720302333735
CIV,-0.0523435339525652,-0.3013844749898238
CMR,0.35494123956859563,1.602362317845318
COD,-0.18946255248910773,-1.146725237434097
COG,0.05921403681025154,0.4424556133643379
COK,0.2906956860011869,0.8582107532690839
COL,0.7559471148610958,1.0966661597122758
COM,-0.0773994166423398,-0.9061590749315217
CRI,1.1257995155132026,1.7926383891075968
CUB,-0.554585703928142,-0.6295377352208765
CUW,-0.5074872693697964,-1.1778966804563338
CXR,0.04063548935743535,0.9873166274697681
CYM,2.781987425700054,1.6809937881645465
CYP,3.7715915955150723,2.9583594502164656
DEU,12.429328005960235,5.410613280181839
DMA,0.34334974415814845,2.176710784684861
DNK,2.516341715854694,1.9033261683517975
DOM,-0.32808323948910845,-1.2943577785066793
DZA,0.07724468804650876,0.5605494300214858
ECU,0.3741180070046732,1.064697367904348
EGY,1.9105953408481984,2.4252984768939614
ERI,-0.014652636102378998,-1.2168199238724338
ESP,5.731910276654903,3.5426822999998557
EST,-0.02162699679794901,-0.08305353534448572
FIN,8.525051784972076,3.517172595203841
FJI,0.09479160400592901,1.1965676718390388
FLK,0.07209364236032084,0.987902202814999
FRA,12.476293787560353,6.037559453042486
FRO,-0.05534455728503686,-1.0419133176931863
GAB,0.05928713354376018,0.6309531131554531
GBR,14.923514865717781,6.654367332613295
GEO,1.0208031736100107,1.4145622721757514
GGY,-0.2253001837897753,-1.5650033413036628
GHA,0.3068961170809762,1.4619858064850586
GIB,0.13896275252937784,0.39359521370402867
GIN,0.027709950855062445,0.8268319586069482
GLP,0.019613172936702523,1.3513128826457286
GMB,-0.19701610065397715,-1.6343548546287148
GNQ,-0.06463239775167408,-0.41467491796902267
GRC,2.9907522555411745,3.0226188474459246
GRD,0.0509264877542193,0.9806518873939926
GRL,0.017461067801423275,0.9840573530271187
GTM,0.33968451361619667,1.6132513177082195
GUM,0.22968144601168555,1.389813917025202
GUY,-0.02368539670903885,-0.3183506047922859
HND,0.16528656249767426,1.7816051504612496
HRV,1.8897973836372557,2.1525637592574083
HTI,-0.03285943517655088,-0.9705686185069919
IDN,3.2132559072714244,2.822846901473854
IMN,-0.29847103475945946,-1.7713561284909143
IND,16.75349264771401,4.192192944041951
IRL,1.7457130061645802,1.0596953780425256
IRN,0.8210293149060629,2.5618752082842238
IRQ,0.4690969640886932,1.4543850543606451
ISL,2.8896713667119327,2.3974514552171122
ISR,5.859805354731578,3.8862810420390184
ITA,6.520794470082368,3.496247848588709
JAM,-0.032348775467621695,-0.2039035797847485
JEY,-0.47961577296414004,-1.9448798107174954
JOR,0.8853582857785037,1.6647421705823517
JPN,4.579846721581997,2.5309648514390686
KEN,0.36459135361821415,0.784148742812168
KHM,0.32918791257337954,1.1259692641001395
KIR,-0.008976377217411317,-0.2322391398768335
KNA,-0.24899896566856403,-1.0436087496435655
KOR,1.7143096966291276,1.0497798534387337
KWT,0.3362033499233012,1.1937163399269368
LBN,0.2698904209191258,0.8799071893610969
LBR,0.07139301975925641,0.9308176613966239
LBY,0.11569076858534516,0.3528744580605074
LCA,0.15110712872682835,1.8051845621144322
LKA,0.27832493960558935,1.1018825248068678
LTU,0.14906266887026062,0.5193174536305228
LVA,0.8626499905016691,1.5669967976314998
MAR,0.6281236998056055,1.1493752861576692
MCO,0.8711258185084026,1.3087430868189318
MDG,-0.24001145812701782,-0.7265498714591828
MDV,-0.05918270725952992,-1.4063402189485261
MEX,2.0519603332674494,1.5799959124496634
MHL,0.02394480939775599,0.4795770084285146
MLT,-0.1865092232658752,-0.27722042832760346
MMR,0.13406442046999034,1.6972383081884546
MNE,-0.07375227562500652,-1.3681962760487152
MNP,0.04563555458825886,0.6027187629069898
MOZ,0.01954091332824469,0.22957752792620684
MRT,-0.0044236405466502125,-0.18824908604293106
MSR,0.01129821116058639,0.9784480895570662
MUS,0.32615159518580095,0.621012487473176
MYS,5.176453822669588,3.4946669093908955
NAM,-0.3275170098850314,-0.8564848191487355
NCL,0.09526313522844425,0.7435825650206423
NFK,0.041576865293524966,0.9870842742210477
NGA,0.33354872523194334,1.828922082807468
NIC,-0.1498076972077422,-0.871902324349063
NIU,0.09448016083586201,1.2686214697045877
NLD,15.12508992107595,5.631354323222305
NOR,3.178941315832782,2.954886081194861
NZL,4.9774494520775985,3.19985049382508
OMN,-0.19018505963638813,-0.6293316055496261
PAK,0.7543782859027467,1.6279086752972105
PAN,6.018908159810035,2.624810268675512
PER,0.13278574891825795,0.33919797049821193
PHL,2.5559419999781903,2.24025410436825
PNG,0.06532256744745778,1.4084620624723718
POL,2.873680458039728,2.238658518334707
PRI,0.25278795833511414,0.5031970718445538
PRK,-0.12536160735587276,-0.44363886769240307
PRT,2.7571711284583653,2.2901022221975644
PYF,-0.05870978359363696,-0.48048405528822996
QAT,-0.012255551664182318,-0.046402817030377685
REU,0.0204281629388084,0.1254801203430683
ROU,2.3569286144143384,2.2929847608778493
RUS,6.6903177986246645,3.512519928628327
SAU,-1.9890760990089063,-1.9752299594753273
SDN,-0.26331932529230706,-0.4812236250225265
SEN,0.04429904675407183,0.44699284835787023
SGP,4.057393022993266,2.1668654731342487
SLE,-0.45980008554978063,-0.9022601213910929
SLV,-0.058130156005182676,-0.408963313170832
SOM,-0.0710289728212402,-0.7145884473681735
SUR,0.09524120509537483,1.0840458127397852
SVN,1.1428727433148664,1.6840037915738133
SWE,6.707222628975284,3.1256818450837827
SXM,-0.008538740518541518,-0.9765714374919148
SYC,0.9206123479541846,2.4474569393757344
SYR,0.4172162064354699,2.0771656747932825
TCA,0.06415242197727997,0.2044194521376418
TGO,0.061309953479984504,0.8110368929142852
THA,2.237247765591299,1.9628532881278091
TON,0.05326031177232139,1.1741503372136701
TTO,0.5437123732250915,1.4074858911945474
TUN,0.6188078669740005,1.421690144397131
TUR,1.0973198229672179,1.3015141846305256
TUV,-0.024957401418902465,-0.9880935863170948
TZA,0.18146917426835327,1.493944078397653
UKR,3.412241469495695,2.5445504211587906
URY,1.8268745841721712,3.296362872219061
USA,16.5407227398227,6.937875959249639
VCT,0.18696146147576373,1.2641991562125936
VEN,2.2142242947294464,2.5062110350456197
VGB,13.878680467632233,4.188143332078821
VIR,0.8248758708866675,1.8957757518722858
VNM,0.4140278405577434,1.0984497658629855
VUT,0.00011689681395610235,0.0010759568697995437
WSM,-0.022602409698457924,-0.18565925123008462
YEM,0.015227107230091656,0.4806881252695977
ZAF,3.639849956585256,2.5263283171906394
